id;region;customer_lifetime_value;response;coverage;education;effective_to_date;month;employment_status;gender;income;location_code;marital_status;monthly_premium_auto;months_since_last_claim;months_since_policy_inception;number_of_open_complaints;number_of_policies;policy_type;policy;renew_offer_type;sales_channel;total_claim_amount;vehicle_class;vehicle_size
6287;north west;2493;no;basic;high school or below;01/02/11;feb;employed;m;37043;rural;divorced;68;25;89;3;1;personal auto;personal l2;offer4;branch;30;two-door car;medsize
6288;central;13270;no;basic;college;24/01/11;jan;employed;m;28727;urban;married;113;7;42;0;2;corporate auto;corporate l1;offer4;branch;350;suv;medsize
6289;west region;2243;no;basic;high school or below;24/02/11;feb;unemployed;f;12474;suburban;single;62;26;18;0;1;personal auto;personal l3;offer4;call center;446;four-door car;medsize
6290;north west;5897;no;basic;high school or below;17/01/11;jan;employed;f;29227;suburban;married;74;0;83;0;7;special auto;special l3;offer1;branch;421;two-door car;medsize
6291;central;7180;no;basic;high school or below;26/02/11;feb;unemployed;f;80632;suburban;single;104;30;96;0;3;special auto;special l1;offer1;web;1210;sports car;medsize
6292;central;5210;no;basic;bachelor;04/01/11;jan;employed;m;89781;rural;single;66;7;89;0;5;special auto;special l2;offer1;agent;37;four-door car;medsize
6293;east;7942;no;premium;high school or below;08/02/11;feb;disabled;f;12181;suburban;divorced;108;10;19;0;4;personal auto;personal l1;offer2;web;591;four-door car;medsize
6294;west region;3903;no;extended;bachelor;03/01/11;jan;employed;f;60068;suburban;married;98;17;75;0;1;personal auto;personal l3;offer2;agent;470;two-door car;small
6295;central;2945;no;extended;high school or below;01/02/11;feb;employed;f;36167;suburban;married;76;9;79;3;1;personal auto;personal l2;offer4;web;364;two-door car;medsize
6296;west region;5325;yes;basic;high school or below;21/02/11;feb;unemployed;m;61824;suburban;married;73;17;44;0;7;personal auto;personal l1;offer2;call center;496;two-door car;medsize
6297;west region;9352;no;extended;high school or below;10/01/11;jan;employed;m;75436;rural;married;78;10;20;0;2;personal auto;personal l2;offer2;agent;9;four-door car;medsize
6298;west region;51337;no;premium;college;24/02/11;feb;employed;f;72794;rural;single;164;3;47;1;2;personal auto;personal l2;offer1;web;50;suv;large
6299;central;6729;no;basic;college;11/01/11;jan;unemployed;m;77445;suburban;single;103;13;20;0;9;personal auto;personal l2;offer1;branch;741;suv;medsize
6300;central;4682;no;basic;college;03/02/11;feb;employed;m;37929;rural;divorced;61;21;35;0;5;corporate auto;corporate l2;offer2;call center;120;four-door car;medsize
6301;north west;7635;no;extended;high school or below;07/01/11;jan;employed;m;30262;suburban;married;98;0;96;1;9;personal auto;personal l3;offer2;agent;499;four-door car;large
6302;north west;4035;no;basic;college;04/01/11;jan;employed;f;55407;urban;married;101;30;68;1;1;personal auto;personal l3;offer3;agent;275;suv;medsize
6303;north west;3339;no;extended;bachelor;15/01/11;jan;unemployed;m;68382;suburban;single;94;20;53;0;1;personal auto;personal l3;offer1;agent;863;sports car;small
6304;north west;14476;no;extended;college;25/02/11;feb;disabled;f;27572;suburban;married;124;11;57;0;2;corporate auto;corporate l3;offer3;branch;595;suv;medsize
6305;central;21504;no;basic;college;08/01/11;jan;employed;m;60228;urban;divorced;112;23;28;1;2;personal auto;personal l2;offer1;agent;286;suv;medsize
6306;central;5283;no;extended;high school or below;17/01/11;jan;employed;f;80928;urban;divorced;132;26;27;0;1;corporate auto;corporate l1;offer1;agent;538;suv;medsize
6307;north west;2248;yes;basic;bachelor;29/01/11;jan;retired;f;24910;suburban;single;63;7;63;1;1;personal auto;personal l3;offer1;branch;347;four-door car;medsize
6308;west region;4076;no;basic;bachelor;23/01/11;jan;employed;f;29549;suburban;divorced;104;17;51;0;1;personal auto;personal l2;offer2;call center;710;sports car;small
6309;west region;6385;no;basic;high school or below;02/02/11;feb;unemployed;f;60211;suburban;single;63;13;35;0;2;personal auto;personal l3;offer1;agent;302;two-door car;medsize
6310;west region;3401;no;extended;high school or below;21/01/11;jan;employed;m;41972;suburban;divorced;86;20;23;0;1;personal auto;personal l3;offer2;branch;691;four-door car;medsize
6311;east;32864;no;basic;high school or below;10/02/11;feb;employed;f;90783;urban;divorced;104;0;38;2;2;personal auto;personal l3;offer1;agent;285;suv;small
6312;west region;12045;no;extended;bachelor;22/02/11;feb;employed;f;55805;urban;married;99;16;30;0;2;personal auto;personal l3;offer1;branch;425;four-door car;medsize
6313;east;5482;no;basic;bachelor;10/02/11;feb;employed;f;79325;urban;married;68;4;31;0;4;corporate auto;corporate l2;offer2;agent;251;four-door car;medsize
6314;west region;9388;no;extended;bachelor;27/01/11;jan;employed;f;33599;rural;divorced;80;23;31;0;2;personal auto;personal l3;offer2;branch;111;four-door car;small
6315;north west;5995;no;extended;bachelor;23/01/11;jan;medical leave;f;28804;rural;married;78;6;84;0;3;personal auto;personal l3;offer1;web;76;two-door car;large
6316;west region;4650;yes;basic;college;10/01/11;jan;retired;m;28215;suburban;single;65;15;26;0;3;personal auto;personal l1;offer1;agent;468;two-door car;medsize
6317;north west;14024;yes;premium;high school or below;19/02/11;feb;employed;f;81872;rural;married;115;10;55;0;2;corporate auto;corporate l2;offer2;web;256;four-door car;medsize
6318;central;21295;no;extended;high school or below;26/01/11;jan;unemployed;f;30445;suburban;divorced;96;15;73;0;2;corporate auto;corporate l2;offer1;branch;677;two-door car;medsize
6319;west region;5505;no;basic;master;06/02/11;feb;employed;f;95766;rural;married;68;17;62;0;5;personal auto;personal l3;offer2;call center;162;four-door car;medsize
6320;east;2993;no;extended;master;15/02/11;feb;unemployed;m;17705;urban;married;80;28;97;0;1;corporate auto;corporate l3;offer1;branch;286;four-door car;medsize
6321;central;2511;no;basic;college;15/01/11;jan;medical leave;m;17658;suburban;married;65;10;44;0;1;personal auto;personal l3;offer3;web;312;four-door car;large
6322;west region;3842;no;extended;master;29/01/11;jan;employed;m;97832;rural;married;95;5;98;0;1;personal auto;personal l3;offer2;web;107;two-door car;medsize
6323;north west;8012;no;extended;bachelor;27/02/11;feb;unemployed;m;36937;urban;single;79;22;82;0;2;personal auto;personal l3;offer1;branch;335;four-door car;medsize
6324;west region;8216;no;premium;high school or below;13/01/11;jan;unemployed;m;63766;suburban;single;117;3;33;0;9;personal auto;personal l2;offer1;agent;983;four-door car;medsize
6325;central;2430;no;basic;college;23/02/11;feb;unemployed;m;26182;suburban;single;70;29;30;0;1;personal auto;personal l3;offer2;call center;341;four-door car;medsize
6326;central;3352;no;extended;master;23/01/11;jan;employed;f;55359;urban;married;83;28;73;0;1;special auto;special l3;offer4;branch;303;four-door car;large
6327;north west;10208;yes;extended;college;14/02/11;feb;employed;f;35482;suburban;married;129;21;59;0;3;personal auto;personal l1;offer1;branch;619;suv;medsize
6328;central;8099;no;basic;bachelor;27/01/11;jan;employed;f;60932;suburban;married;101;7;35;0;3;corporate auto;corporate l3;offer1;agent;484;suv;large
6329;north west;2719;yes;basic;college;24/01/11;jan;retired;f;14030;suburban;married;72;11;3;0;1;personal auto;personal l2;offer2;branch;345;two-door car;large
6330;east;5382;no;basic;bachelor;26/02/11;feb;employed;f;77552;rural;divorced;68;33;76;1;7;corporate auto;corporate l3;offer1;call center;45;four-door car;medsize
6331;west region;2567;no;basic;high school or below;06/02/11;feb;employed;f;61900;suburban;single;64;11;64;0;1;corporate auto;corporate l3;offer4;call center;307;four-door car;medsize
6332;central;8016;no;basic;bachelor;29/01/11;jan;employed;f;82828;urban;married;67;14;36;1;2;personal auto;personal l2;offer4;agent;217;four-door car;medsize
6333;central;2467;no;basic;bachelor;02/01/11;jan;medical leave;f;19352;suburban;married;65;16;0;0;1;personal auto;personal l3;offer1;branch;724;four-door car;small
6334;west region;5860;no;basic;bachelor;25/02/11;feb;employed;f;36889;urban;married;74;24;82;1;3;personal auto;personal l2;offer1;agent;192;four-door car;medsize
6335;west region;6925;no;extended;bachelor;05/02/11;feb;employed;f;88893;rural;married;86;5;63;0;9;personal auto;personal l3;offer2;call center;72;four-door car;small
6336;north west;14472;no;basic;college;24/02/11;feb;employed;f;22012;rural;married;185;5;69;0;5;corporate auto;corporate l3;offer2;web;75;luxury suv;small
6337;north west;4037;no;basic;college;18/02/11;feb;employed;m;90760;rural;married;103;5;7;2;1;special auto;special l3;offer2;branch;133;suv;medsize
6338;west region;7531;no;basic;bachelor;03/01/11;jan;unemployed;f;11792;suburban;single;71;10;44;0;2;personal auto;personal l3;offer1;agent;511;four-door car;medsize
6339;north west;4878;no;basic;high school or below;18/01/11;jan;employed;f;43358;suburban;married;61;2;83;0;6;corporate auto;corporate l3;offer4;branch;400;two-door car;small
6340;east;11314;no;premium;high school or below;06/01/11;jan;employed;f;62935;rural;married;141;29;27;0;7;personal auto;personal l1;offer2;agent;232;sports car;small
6341;west region;2320;no;basic;college;15/02/11;feb;unemployed;f;10953;suburban;married;63;18;76;0;1;personal auto;personal l3;offer2;agent;453;two-door car;medsize
6342;west region;4626;yes;basic;master;16/01/11;jan;employed;f;79487;suburban;divorced;114;20;87;0;1;personal auto;personal l2;offer2;branch;547;suv;medsize
6343;central;7250;no;basic;bachelor;01/02/11;feb;unemployed;m;57957;suburban;single;69;17;10;0;2;personal auto;personal l3;offer4;call center;496;two-door car;medsize
6344;west region;8110;no;premium;bachelor;22/01/11;jan;medical leave;f;11489;suburban;married;105;4;50;0;6;personal auto;personal l3;offer1;call center;504;two-door car;small
6345;central;7053;no;extended;college;16/02/11;feb;employed;f;52982;rural;divorced;89;8;54;0;3;corporate auto;corporate l3;offer1;call center;31;four-door car;medsize
6346;west region;2574;yes;basic;master;14/01/11;jan;employed;f;34990;rural;single;65;23;73;0;1;personal auto;personal l3;offer2;web;42;four-door car;medsize
6347;north west;4334;yes;extended;bachelor;27/02/11;feb;retired;f;23904;suburban;single;123;1;67;3;1;corporate auto;corporate l3;offer1;agent;590;suv;medsize
6348;north west;3196;no;extended;bachelor;10/01/11;jan;employed;f;62815;rural;married;80;14;84;0;1;special auto;special l1;offer2;call center;47;two-door car;large
6349;central;15118;no;basic;doctor;04/02/11;feb;employed;m;58883;suburban;married;62;1;47;0;2;corporate auto;corporate l2;offer2;branch;432;two-door car;medsize
6350;central;5444;no;basic;high school or below;26/01/11;jan;employed;m;91393;suburban;married;67;19;54;0;6;personal auto;personal l3;offer1;agent;460;two-door car;medsize
6351;north west;8188;no;basic;doctor;08/01/11;jan;employed;m;45318;suburban;married;103;17;27;0;8;personal auto;personal l2;offer2;call center;494;four-door car;small
6352;west region;2594;no;basic;high school or below;24/01/11;jan;employed;f;30064;urban;married;65;20;23;0;1;personal auto;personal l3;offer1;agent;296;two-door car;large
6353;west region;4814;no;basic;college;07/02/11;feb;unemployed;m;35307;suburban;single;67;34;4;0;4;personal auto;personal l3;offer2;agent;482;four-door car;medsize
6354;central;5002;no;basic;college;21/01/11;jan;unemployed;m;29478;suburban;single;70;35;56;0;3;personal auto;personal l3;offer3;call center;504;four-door car;medsize
6355;central;9621;no;extended;high school or below;10/02/11;feb;employed;f;54872;suburban;married;121;9;50;0;3;personal auto;personal l3;offer2;agent;580;suv;large
6356;north west;2132;no;basic;high school or below;17/01/11;jan;unemployed;m;34682;suburban;single;61;0;62;0;1;personal auto;personal l3;offer1;agent;691;four-door car;small
6357;central;3839;no;basic;doctor;21/02/11;feb;unemployed;f;18944;suburban;divorced;112;3;51;2;1;personal auto;personal l2;offer1;agent;537;suv;medsize
6358;east;3313;no;extended;high school or below;28/01/11;jan;employed;f;40348;rural;married;83;6;56;0;1;personal auto;personal l3;offer2;agent;26;four-door car;medsize
6359;west region;18321;no;basic;college;16/02/11;feb;employed;f;76726;rural;married;65;27;26;0;2;personal auto;personal l2;offer2;branch;10;four-door car;medsize
6360;north west;6627;no;extended;college;07/02/11;feb;employed;m;90751;urban;married;82;2;22;1;8;personal auto;personal l2;offer1;agent;315;two-door car;medsize
6361;west region;4957;no;basic;bachelor;28/02/11;feb;unemployed;f;23806;suburban;divorced;67;3;69;0;7;personal auto;personal l2;offer2;branch;321;four-door car;medsize
6362;west region;4916;no;basic;bachelor;14/02/11;feb;employed;f;21907;rural;married;62;6;47;0;3;personal auto;personal l3;offer2;agent;2;four-door car;medsize
6363;west region;2443;no;basic;college;12/02/11;feb;unemployed;m;15542;rural;married;69;2;55;0;1;personal auto;personal l2;offer2;branch;124;four-door car;medsize
6364;west region;3766;no;extended;high school or below;07/01/11;jan;medical leave;f;22439;suburban;married;98;30;63;0;1;personal auto;personal l2;offer1;agent;470;four-door car;medsize
6365;west region;2702;no;basic;college;31/01/11;jan;disabled;m;22415;suburban;married;69;0;79;0;1;personal auto;personal l1;offer3;branch;352;four-door car;large
6366;central;10168;no;extended;high school or below;10/02/11;feb;employed;f;35504;urban;married;128;4;86;0;3;personal auto;personal l3;offer3;call center;404;suv;small
6367;east;5181;yes;basic;master;03/02/11;feb;employed;f;97131;suburban;married;64;5;80;0;6;personal auto;personal l1;offer2;agent;307;four-door car;small
6368;west region;5678;yes;extended;bachelor;19/01/11;jan;unemployed;f;17784;suburban;married;76;8;44;0;3;corporate auto;corporate l3;offer2;agent;364;four-door car;small
6369;central;10552;no;extended;master;02/01/11;jan;employed;m;47761;rural;married;131;2;54;0;6;personal auto;personal l3;offer1;agent;232;suv;small
6370;central;5337;no;extended;bachelor;14/02/11;feb;unemployed;f;88419;suburban;single;86;19;93;3;5;personal auto;personal l3;offer1;agent;619;four-door car;small
6371;west region;9369;no;basic;college;25/01/11;jan;employed;f;99185;urban;married;115;8;19;0;3;corporate auto;corporate l3;offer2;call center;449;suv;medsize
6372;east;4854;no;basic;bachelor;16/02/11;feb;employed;m;29834;suburban;single;64;19;44;0;3;personal auto;personal l3;offer4;agent;307;four-door car;medsize
6373;central;3890;no;extended;high school or below;12/02/11;feb;employed;m;91182;urban;married;96;8;90;0;1;personal auto;personal l1;offer2;agent;249;four-door car;medsize
6374;west region;12919;no;basic;college;23/01/11;jan;employed;m;58236;rural;married;108;22;92;0;2;corporate auto;corporate l2;offer1;agent;67;suv;small
6375;west region;9024;no;basic;master;25/02/11;feb;employed;m;71499;suburban;married;112;25;61;0;5;corporate auto;corporate l3;offer3;agent;537;sports car;small
6376;west region;5325;no;basic;bachelor;18/01/11;jan;employed;m;62470;urban;married;66;34;84;0;4;personal auto;personal l3;offer3;agent;243;two-door car;medsize
6377;west region;14642;no;basic;college;15/02/11;feb;employed;m;57561;suburban;married;62;18;57;1;2;corporate auto;corporate l3;offer1;agent;298;four-door car;medsize
6378;west region;2446;no;basic;bachelor;24/02/11;feb;medical leave;m;29152;urban;divorced;67;24;72;0;1;personal auto;personal l3;offer4;agent;255;two-door car;medsize
6379;west region;3621;yes;extended;bachelor;09/02/11;feb;medical leave;f;13457;urban;married;94;31;28;0;1;personal auto;personal l3;offer3;branch;285;two-door car;large
6380;north west;3815;no;premium;high school or below;04/02/11;feb;disabled;m;23540;suburban;married;103;30;23;2;1;corporate auto;corporate l3;offer3;branch;494;two-door car;medsize
6381;central;15739;no;extended;master;22/02/11;feb;employed;f;48096;urban;married;131;10;3;0;2;personal auto;personal l1;offer2;call center;450;sports car;medsize
6382;east;2410;no;basic;bachelor;07/01/11;jan;unemployed;f;19297;suburban;single;67;5;53;0;1;personal auto;personal l2;offer2;agent;482;two-door car;medsize
6383;west region;29006;no;basic;high school or below;02/02/11;feb;employed;f;40252;suburban;divorced;104;12;60;0;2;personal auto;personal l3;offer1;agent;499;sports car;medsize
6384;north west;2858;yes;basic;high school or below;21/02/11;feb;employed;f;40706;rural;married;71;30;96;0;1;personal auto;personal l1;offer3;agent;166;four-door car;medsize
6385;west region;7285;yes;basic;high school or below;28/02/11;feb;employed;m;44788;suburban;married;61;6;48;0;2;corporate auto;corporate l1;offer2;agent;386;four-door car;small
6386;north west;4318;no;basic;bachelor;31/01/11;jan;unemployed;f;81650;urban;divorced;68;7;53;3;3;personal auto;personal l3;offer2;branch;230;two-door car;medsize
6387;north west;9671;no;extended;bachelor;17/02/11;feb;disabled;m;17103;suburban;married;87;24;29;0;2;personal auto;personal l3;offer1;branch;417;two-door car;small
6388;central;2912;no;basic;college;28/02/11;feb;employed;m;81097;suburban;divorced;74;7;67;0;1;personal auto;personal l1;offer4;agent;355;four-door car;small
6389;central;6243;no;extended;college;07/01/11;jan;employed;m;73945;urban;married;78;21;76;0;8;personal auto;personal l3;offer2;web;330;two-door car;medsize
6390;north west;5715;no;basic;college;19/01/11;jan;employed;m;69451;urban;married;72;10;93;2;5;corporate auto;corporate l2;offer2;web;230;four-door car;medsize
6391;west region;10208;yes;extended;college;14/02/11;feb;employed;f;35482;suburban;married;129;21;59;0;3;personal auto;personal l3;offer1;branch;619;suv;medsize
6392;west region;20498;no;basic;master;24/01/11;jan;employed;m;56070;rural;divorced;74;5;73;0;2;personal auto;personal l3;offer1;branch;87;two-door car;medsize
6393;east;4705;no;extended;bachelor;06/02/11;feb;unemployed;f;91631;suburban;single;78;21;23;3;3;corporate auto;corporate l3;offer4;agent;555;four-door car;large
6394;central;6947;no;extended;high school or below;23/02/11;feb;unemployed;f;21495;suburban;single;99;12;77;0;4;corporate auto;corporate l3;offer2;call center;475;two-door car;medsize
6395;central;27386;no;basic;master;12/02/11;feb;unemployed;m;56600;urban;married;105;0;47;0;2;personal auto;personal l1;offer3;agent;451;sports car;medsize
6396;west region;8002;yes;basic;college;11/01/11;jan;unemployed;f;93384;suburban;married;107;3;65;0;3;personal auto;personal l3;offer1;agent;513;suv;medsize
6397;west region;9246;no;basic;bachelor;14/02/11;feb;employed;f;40032;suburban;married;118;1;50;2;7;personal auto;personal l3;offer1;web;717;suv;medsize
6398;west region;5146;no;basic;college;04/01/11;jan;employed;f;93752;rural;divorced;64;34;24;0;3;corporate auto;corporate l1;offer4;call center;154;four-door car;large
6399;central;4260;no;basic;college;14/02/11;feb;unemployed;m;22802;suburban;single;62;1;73;0;3;personal auto;personal l3;offer1;agent;446;four-door car;small
6400;west region;30859;no;basic;master;20/02/11;feb;employed;m;69872;rural;married;111;35;10;2;2;corporate auto;corporate l3;offer2;web;218;sports car;medsize
6401;north west;5209;no;extended;high school or below;16/02/11;feb;employed;f;37940;urban;married;129;11;36;0;1;special auto;special l3;offer1;branch;512;sports car;large
6402;west region;7890;no;premium;high school or below;15/01/11;jan;unemployed;f;43478;suburban;married;112;15;29;3;7;personal auto;personal l3;offer1;call center;747;four-door car;medsize
6403;east;3123;yes;basic;bachelor;19/02/11;feb;unemployed;m;30546;suburban;married;101;1;83;4;1;special auto;special l3;offer1;agent;960;suv;medsize
6404;north west;4518;no;basic;doctor;05/01/11;jan;retired;m;19186;suburban;divorced;62;10;34;0;5;personal auto;personal l1;offer3;branch;297;four-door car;small
6405;west region;2962;no;extended;high school or below;09/01/11;jan;medical leave;m;16495;suburban;married;85;25;75;3;1;corporate auto;corporate l2;offer1;branch;408;four-door car;medsize
6406;west region;9801;no;extended;high school or below;22/01/11;jan;unemployed;m;82888;suburban;married;91;33;38;0;2;corporate auto;corporate l3;offer3;agent;436;four-door car;small
6407;north west;13197;yes;basic;college;27/01/11;jan;unemployed;f;64027;suburban;single;68;3;2;1;2;personal auto;personal l3;offer1;agent;326;four-door car;large
6408;north west;21312;no;premium;master;22/02/11;feb;employed;f;70734;suburban;married;175;4;35;0;2;corporate auto;corporate l2;offer1;branch;1200;suv;medsize
6409;north west;11077;no;extended;bachelor;26/02/11;feb;employed;m;78011;urban;married;138;14;42;0;3;personal auto;personal l3;offer1;agent;619;suv;medsize
6410;central;2346;no;basic;bachelor;11/01/11;jan;medical leave;m;22932;suburban;married;62;2;97;0;1;personal auto;personal l1;offer1;web;297;four-door car;small
6411;west region;5786;no;basic;bachelor;28/01/11;jan;employed;m;44784;suburban;married;73;32;35;0;4;personal auto;personal l2;offer1;branch;395;two-door car;medsize
6412;west region;2530;no;basic;master;15/02/11;feb;medical leave;f;25143;rural;divorced;66;34;38;0;1;corporate auto;corporate l2;offer1;branch;8;four-door car;medsize
6413;west region;5329;no;basic;college;11/02/11;feb;employed;f;99839;suburban;married;66;11;12;0;3;personal auto;personal l2;offer3;agent;468;four-door car;small
6414;central;2450;no;basic;bachelor;24/02/11;feb;unemployed;f;89722;suburban;single;73;4;44;3;1;corporate auto;corporate l3;offer1;branch;554;four-door car;medsize
6415;east;27929;no;extended;college;16/02/11;feb;employed;f;88105;suburban;married;86;5;26;0;2;personal auto;personal l3;offer1;agent;412;four-door car;medsize
6416;north west;5173;no;basic;college;22/01/11;jan;unemployed;f;59040;suburban;married;69;30;69;0;9;personal auto;personal l2;offer1;call center;331;four-door car;medsize
6417;west region;8208;no;premium;bachelor;11/01/11;jan;employed;f;40646;suburban;married;103;22;6;0;8;personal auto;personal l3;offer2;web;494;four-door car;medsize
6418;central;4766;no;basic;bachelor;18/02/11;feb;medical leave;f;29177;suburban;married;64;15;20;0;5;personal auto;personal l3;offer1;call center;307;four-door car;large
6419;east;9320;no;premium;bachelor;24/02/11;feb;medical leave;f;18643;suburban;married;119;34;41;0;5;corporate auto;corporate l2;offer1;agent;571;four-door car;medsize
6420;central;10307;no;extended;college;27/01/11;jan;employed;f;78358;suburban;married;128;6;75;0;3;corporate auto;corporate l1;offer3;agent;614;suv;medsize
6421;west region;8277;no;basic;bachelor;14/02/11;feb;employed;f;79780;suburban;married;68;11;58;0;2;personal auto;personal l2;offer2;web;326;four-door car;medsize
6422;east;6369;yes;extended;high school or below;20/01/11;jan;employed;m;34498;suburban;single;83;30;72;0;7;personal auto;personal l3;offer2;branch;398;two-door car;small
6423;west region;9368;no;extended;college;01/02/11;feb;employed;m;44980;urban;divorced;81;2;27;0;2;corporate auto;corporate l2;offer3;agent;333;two-door car;medsize
6424;west region;2810;no;basic;bachelor;28/02/11;feb;employed;f;73858;suburban;married;72;8;59;3;1;personal auto;personal l3;offer4;agent;422;four-door car;medsize
6425;north west;3873;yes;basic;college;20/01/11;jan;retired;m;28142;suburban;married;105;18;50;0;1;corporate auto;corporate l2;offer2;agent;701;sports car;medsize
6426;east;4718;no;basic;master;27/02/11;feb;disabled;m;15680;urban;divorced;64;16;29;0;8;personal auto;personal l3;offer4;web;260;four-door car;medsize
6427;west region;15190;no;basic;high school or below;12/02/11;feb;unemployed;m;49629;suburban;single;71;4;64;4;2;personal auto;personal l3;offer2;call center;839;four-door car;medsize
6428;north west;5272;no;basic;high school or below;16/02/11;feb;employed;f;60260;suburban;married;66;14;84;0;3;corporate auto;corporate l1;offer2;web;328;four-door car;medsize
6429;north west;2682;no;basic;high school or below;04/02/11;feb;disabled;f;24823;urban;married;69;23;66;0;1;personal auto;personal l1;offer1;agent;229;four-door car;medsize
6430;central;2219;no;basic;college;22/02/11;feb;unemployed;m;96607;suburban;married;62;0;83;0;1;personal auto;personal l1;offer1;web;297;two-door car;large
6431;north west;2345;no;basic;bachelor;16/02/11;feb;medical leave;f;26304;suburban;single;63;22;93;0;1;personal auto;personal l3;offer1;call center;302;four-door car;medsize
6432;central;6674;no;extended;high school or below;07/01/11;jan;unemployed;m;63736;suburban;single;98;7;24;0;9;personal auto;personal l3;offer2;call center;931;two-door car;medsize
6433;west region;2810;no;basic;high school or below;11/02/11;feb;employed;m;20371;suburban;married;71;19;14;1;1;personal auto;personal l2;offer4;call center;340;four-door car;medsize
6434;west region;7998;no;basic;high school or below;19/02/11;feb;employed;f;29066;suburban;married;100;8;51;1;3;personal auto;personal l3;offer2;branch;844;suv;medsize
6435;north west;2127;no;basic;bachelor;17/01/11;jan;unemployed;f;93115;rural;divorced;61;11;6;1;1;corporate auto;corporate l2;offer1;web;31;four-door car;medsize
6436;central;4035;no;basic;bachelor;13/01/11;jan;employed;f;21359;suburban;married;101;25;5;0;1;personal auto;personal l3;offer4;agent;484;sports car;medsize
6437;west region;4815;no;extended;college;09/02/11;feb;employed;m;59438;urban;single;124;33;55;0;1;special auto;special l2;offer3;branch;562;suv;small
6438;north west;4940;no;basic;college;20/02/11;feb;employed;m;65985;rural;single;71;3;47;5;4;special auto;special l1;offer2;agent;42;four-door car;medsize
6439;west region;4362;yes;premium;college;03/01/11;jan;employed;m;58842;suburban;married;110;6;74;0;1;personal auto;personal l1;offer2;branch;528;four-door car;medsize
6440;central;2675;no;basic;high school or below;16/02/11;feb;employed;m;67837;suburban;married;69;19;17;4;1;personal auto;personal l3;offer2;agent;430;four-door car;medsize
6441;central;8388;no;basic;bachelor;02/01/11;jan;employed;f;87123;rural;married;69;13;87;0;2;corporate auto;corporate l3;offer1;agent;118;four-door car;large
6442;west region;9244;no;extended;doctor;07/01/11;jan;medical leave;f;12081;suburban;divorced;82;18;18;0;2;personal auto;personal l3;offer3;agent;548;two-door car;medsize
6443;west region;6904;no;extended;high school or below;24/01/11;jan;unemployed;f;75358;suburban;single;98;26;31;0;4;personal auto;personal l2;offer2;agent;1032;four-door car;medsize
6444;central;13727;yes;extended;college;08/01/11;jan;unemployed;m;67780;suburban;single;126;12;4;0;2;personal auto;personal l3;offer1;agent;604;suv;medsize
6445;north west;8229;no;basic;master;14/01/11;jan;unemployed;f;64216;urban;married;109;5;63;0;3;personal auto;personal l2;offer3;web;298;suv;medsize
6446;west region;3530;no;premium;bachelor;11/02/11;feb;unemployed;m;52515;suburban;single;108;7;55;0;1;corporate auto;corporate l3;offer1;agent;777;two-door car;medsize
6447;north west;6459;no;extended;college;08/01/11;jan;employed;f;24290;suburban;married;82;15;84;0;8;personal auto;personal l1;offer4;branch;393;four-door car;medsize
6448;north west;5232;no;basic;bachelor;07/02/11;feb;employed;m;41596;suburban;married;66;12;12;0;5;personal auto;personal l3;offer2;call center;316;four-door car;medsize
6449;central;2549;no;basic;bachelor;22/02/11;feb;employed;m;31213;suburban;married;65;0;29;0;1;corporate auto;corporate l3;offer2;branch;312;four-door car;medsize
6450;west region;3609;no;extended;college;16/02/11;feb;employed;m;58297;suburban;married;97;19;94;5;1;special auto;special l3;offer1;agent;647;four-door car;small
6451;central;5955;no;extended;college;07/02/11;feb;unemployed;f;83534;suburban;single;83;35;87;0;8;personal auto;personal l3;offer1;agent;628;four-door car;medsize
6452;central;9806;no;extended;high school or below;04/01/11;jan;unemployed;f;18520;suburban;single;87;15;26;0;2;personal auto;personal l3;offer1;agent;626;four-door car;medsize
6453;central;13569;no;basic;high school or below;09/01/11;jan;medical leave;m;20978;suburban;married;70;35;20;0;2;personal auto;personal l2;offer4;branch;336;two-door car;medsize
6454;north west;5773;no;basic;bachelor;25/02/11;feb;employed;m;52278;urban;married;73;31;91;0;3;personal auto;personal l2;offer1;branch;234;two-door car;medsize
6455;west region;2409;no;basic;bachelor;01/02/11;feb;unemployed;f;54491;suburban;married;66;3;97;0;1;personal auto;personal l2;offer4;web;316;two-door car;large
6456;north west;12280;yes;premium;college;01/01/11;jan;employed;m;88340;suburban;married;102;16;1;0;2;personal auto;personal l3;offer1;branch;489;two-door car;medsize
6457;west region;6701;no;extended;college;27/02/11;feb;employed;m;56398;suburban;married;85;4;18;0;7;personal auto;personal l3;offer4;agent;408;four-door car;small
6458;west region;6762;no;extended;doctor;22/02/11;feb;employed;m;40372;rural;married;85;15;17;0;4;corporate auto;corporate l2;offer3;branch;76;four-door car;medsize
6459;central;9657;yes;extended;high school or below;31/01/11;jan;unemployed;m;79488;suburban;married;131;34;61;0;9;corporate auto;corporate l1;offer1;agent;628;suv;medsize
6460;west region;20492;no;premium;master;04/01/11;jan;employed;f;27317;suburban;married;102;30;12;0;2;personal auto;personal l2;offer3;agent;489;four-door car;medsize
6461;west region;6045;no;extended;college;14/02/11;feb;employed;f;82399;rural;single;77;18;15;3;9;personal auto;personal l3;offer2;agent;31;four-door car;medsize
6462;north west;14703;no;basic;high school or below;02/02/11;feb;unemployed;m;48295;suburban;single;71;16;30;1;2;personal auto;personal l3;offer1;call center;819;four-door car;small
